treeID,Rank_structural,Structural_score,Rank_volume,Rank_DBH,Rank_height,Rank_branches,DBH_cm,H_m,BA_m2,Volume_total_m3,Stem_volume_m3,Branch_volume_total_m3,Branch_count,B1_primary_count,B2_secondary_count,B3_tertiary_plus_count,Max_branch_order,Stem_volume_pct,Branch_volume_pct,X_tree,Y_tree,Z_tree,R,G,B
79,40,0.0480368781987269,31,28,37,39,14.7070652126188,16.04,0.0169879869080891,0.130003122995911,0.114323421838825,0.0156797011570862,184,45,101,38,5,87.93898116003,12.06101883997,25.9629545454546,18.5172727272727,6.69,251,33,114
15,41,0.0163069557015327,52,59,41,35,6.6523097273092,14.003,0.00347564014101191,0.0400967919780407,0.0339149715274154,0.00618182045062526,214,42,75,97,7,84.5827555131822,15.4172444868178,18.1907692307692,15.1396153846154,11.2767579908676,21,229,84
12,42,0.00467851999629765,42,48,34,45,9.2130571478893,16.754,0.00666649275552696,0.0793776995421325,0.0690007551011092,0.0103769444410233,144,21,47,76,6,86.9271287768735,13.0728712231265,21.44,14.35,9.48557971014493,49,183,212
64,43,-0.0491028105813407,32,26,36,55,14.8841258145397,16.051,0.0173994910996207,0.123037735585454,0.120117173928023,0.00292056165743067,91,31,49,11,5,97.626287867268,2.37371213273203,21.7017647058824,19.7973529411765,9.45905660377358,55,54,224
5,44,-0.103247542980107,39,30,50,49,13.3493994856304,10.86,0.0139963031594354,0.0843181228810816,0.077642609706284,0.00667551317479757,119,33,55,31,6,92.0829438005725,7.9170561994275,12.44,19.92,15.3,199,246,34
228,45,-0.125477112928704,45,38,47,26,11.2978220377621,12.252,0.0100248836383332,0.0697774143374681,0.0582380885124272,0.0115393258250409,281,49,128,104,5,83.4626634784249,16.5373365215751,25.4316632464405,23.4143763747347,6.68767204414454,219,66,38
183,46,-0.164108316413166,44,39,42,42,11.2421530021166,13.443,0.00992633355173452,0.0710064894882759,0.0583987690092846,0.0126077204789914,164,55,66,43,5,82.2442701084764,17.7557298915236,19.9527611940299,15.5917164179104,10.6867931034483,183,229,64
26,47,-0.17766667230029,50,45,49,46,10.0516490820734,11.044,0.00793532133736565,0.0521187494668495,0.042794425480023,0.00932432398682648,134,38,59,37,6,82.1094633270944,17.8905366729056,12.1175,15.80375,14.6057911392405,217,235,40
237,48,-0.229307495925487,43,36,48,50,12.1191635832596,12.208,0.0115354668777867,0.0734628790355243,0.0681423684095515,0.00532051062597277,114,29,41,44,5,92.757552255201,7.24244774479903,26.4901960784314,20.6798039215686,6.26235294117647,52,138,234
47,49,-0.239013722987089,48,42,43,48,10.4623043514647,13.245,0.00859695355797677,0.0573679242995017,0.0494421414077939,0.00792578289170787,121,31,70,20,5,86.1842955127162,13.8157044872839,9.89115384615385,15.2565384615385,15.5453968253968,253,246,45
16,50,-0.271816686201815,47,46,45,52,9.86089235372752,12.859,0.00763699167323832,0.0681036017723261,0.0645459789398849,0.00355762283244115,106,32,53,21,5,94.7761605262311,5.22383947376891,18.875,20.235,11.2514007782101,206,49,47
113,51,-0.368437278945699,61,64,63,40,3.67239320498873,4.884,0.00105922502233094,0.0116230000009207,0.00347600816800836,0.00814699183291236,171,27,54,90,7,29.9062906971781,70.093709302822,18.226632514756,6.52854519385382,7.74598665398329,213,57,102
159,52,-0.372890770697596,54,52,52,43,8.088560414075,9.99,0.00513845252785874,0.0320412370076489,0.0252669741442908,0.00677426286335812,154,33,85,36,5,78.8576737479238,21.1423262520763,10.175,10.745,13.0903482587065,33,205,82
20,53,-0.392055201478967,46,49,35,60,9.09821562810409,16.342,0.00650133181597776,0.0683277767818925,0.0645568694436796,0.00377090733821289,58,25,27,6,4,94.4811502498465,5.51884975015346,15.1763654089179,16.9642662018553,13.587835745271,56,255,224
112,54,-0.402835598686146,51,47,55,53,9.74615856374633,9.341,0.00746030918867225,0.0425043295591192,0.0368238298844773,0.00568049967464195,103,28,51,24,5,86.6354798827236,13.3645201172764,25.1207142857143,20.535,7.23877419354839,14,227,14
54,55,-0.433674040510035,53,50,54,54,8.69001479486523,9.466,0.00593104082002764,0.0343287165689378,0.0299137344317947,0.00441498213714307,99,28,42,29,5,87.1390993360412,12.8609006639588,17.5789609902121,14.0519079874019,11.2943663935226,62,238,225
163,56,-0.463630953566615,55,51,51,57,8.32254633871396,10.274,0.00544004290837891,0.0288935035340421,0.0270970390155452,0.00179646451849685,73,38,31,4,5,93.7824621497345,6.21753785026546,9.065,9.99,13.3864748201439,215,52,196
66,57,-0.594596239261713,56,55,59,60,7.61108778229173,7.507,0.00454970609963263,0.0242516871675008,0.0196999380705307,0.00455174909697009,58,19,28,11,5,81.2312064495463,18.7687935504537,23.1209708737864,28.3687378640777,8.13339805825243,215,48,144
53,58,-0.59494351516267,60,61,60,47,4.57603765202617,6.227,0.00164463322548757,0.0121122218995545,0.00605726817652086,0.00605495372303366,132,29,63,40,5,50.0095542069258,49.9904457930742,19.4197384869804,17.7213095984201,11.2734939872816,222,39,182
162,59,-0.682842796872355,62,60,61,57,4.95837296905624,5.731,0.0019309377093987,0.0108594532283346,0.00719226444945151,0.00366718877888311,73,15,28,30,5,66.2304473183361,33.7695526816639,17.5511168463524,23.1816690134925,12.0094301055691,152,228,44
111,60,-0.708388235899219,59,58,58,59,6.95506521608716,7.625,0.00379920120766334,0.0198038868352444,0.016040407698522,0.00376347913672238,70,27,31,12,4,80.9962601380622,19.0037398619378,23.8417647058823,23.7652941176471,7.58492424242424,121,68,248
29,61,-0.769801332827455,65,73,69,51,2.27271758419539,3.132,0.000405677410733053,0.00360681209602804,0.00121157017334677,0.00239524192268127,107,22,44,41,5,33.5911641940259,66.4088358059741,6.13411214953271,15.1410280373832,16.4078504672897,236,105,68
119,62,-0.858340438111102,67,69,67,63,2.5438957752763,3.364,0.000508263016352878,0.00254548957541747,0.00153913985366088,0.00100634972175658,51,17,25,9,5,60.4653764260048,39.5346235739952,27.1230492572311,16.0196916589695,6.05611568666296,24,32,235
114,63,-0.867790669049608,69,71,71,62,2.4182668830922,2.87,0.000459302001892887,0.00250624831589299,0.00139802895828163,0.00110821935761136,54,16,30,8,5,55.7817415543483,44.2182584456518,21.9464259147171,7.94726180866469,7.3504940039099,56,157,230
154,64,-0.911173134544576,58,56,56,67,7.5536351362961,8.871,0.00448127801309808,0.0204549489461697,0.0202207823399563,0.000234166606213462,27,26,1,0,3,98.8552080631944,1.14479193680564,11.945,15.645,14.7494761904762,91,209,50
225,65,-0.986102342457725,63,62,65,64,3.77970439602611,3.893,0.0011220328005372,0.00532230454540973,0.00380912034795608,0.00151318419745365,36,17,15,4,4,71.5690039052968,28.4309960947032,21.2632524919232,6.83016376419843,7.36707875876427,245,251,44
56,66,-1.02017351683859,68,67,66,64,2.97744287566329,3.387,0.000696268515574737,0.00254356839211977,0.00212362837294236,0.000419940019177413,36,17,14,5,4,83.4901227551644,16.5098772448356,20.5639943690403,19.4339243435697,10.5629376271771,110,42,240
